=== Read Test ===
Filesystem integrity check: OK
Reading 1000 files, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Reading /test_133.bin... opened:  6012 us, closed:     3 us, I/O:   1881 us, total:  13072 us, speed:  5316 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_134.bin... opened:  6010 us, closed:     3 us, I/O:   1882 us, total:  13113 us, speed:  5313 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_135.bin... opened:  6026 us, closed:     3 us, I/O:   1884 us, total:  13066 us, speed:  5307 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_136.bin... opened:  5957 us, closed:     3 us, I/O:   1888 us, total:  13028 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_137.bin... opened:  5986 us, closed:     3 us, I/O:   1890 us, total:  13040 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_138.bin... opened:  5961 us, closed:     3 us, I/O:   1889 us, total:  18957 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_139.bin... opened:  5946 us, closed:     3 us, I/O:   1904 us, total:  13018 us, speed:  5252 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_140.bin... opened:  5951 us, closed:     3 us, I/O:   1892 us, total:  13019 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_141.bin... opened:  5909 us, closed:     3 us, I/O:   1882 us, total:  12969 us, speed:  5313 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_142.bin... opened:  5919 us, closed:     3 us, I/O:   1882 us, total:  13017 us, speed:  5313 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_143.bin... opened:  5879 us, closed:     3 us, I/O:   1890 us, total:  12938 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_144.bin... opened:  5888 us, closed:     3 us, I/O:   1882 us, total:  12926 us, speed:  5313 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_145.bin... opened:  5815 us, closed:     3 us, I/O:   7352 us, total:  18348 us, speed:  1360 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_146.bin... opened:  5812 us, closed:     3 us, I/O:   1885 us, total:  12883 us, speed:  5305 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_147.bin... opened:  5845 us, closed:     3 us, I/O:   1893 us, total:  12884 us, speed:  5282 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_148.bin... opened:  5821 us, closed:     6 us, I/O:   1888 us, total:  12869 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_149.bin... opened:  5816 us, closed:     3 us, I/O:   1883 us, total:  12849 us, speed:  5310 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
